name,calories_per_100,Image_id,Food_groups_fd_recipe_name
chicken,100,3001,
salt,3,3002,
rosemary,5,3003,
unsalted butter,80,3004,
red pepper flakes,20,3005,
black pepper,60,3006,
apples,32,3007,
extra-virgin olive oil,44,3008,
white onions,58,3009,
apple cider vinegar,43,3010,
white miso,25,3011,
all-purpose flour,36,3012,
dry white wine,9,3013,
unsalted chicken broth,85,3014,
egg whites,23,3015,
potatoes,42,3016,
thyme,13,3017,
whole milk,34,3018,
garlic powder,56,3019,
paprika,87,3020,
cheddar,94,3021,
cream cheese,34,3022,
elbow macaroni,23,3023,
round Italian loaf,45,3024,
Italian sausage,65,3025,
celery,30,3026,
garlic cloves,32,3027,
eggs,45,3028,
heavy cream,32,3029,
parsley,64,3030,
brown sugar,54,3031,
water,34,3032,
bourbon,26,3033,
lemon juice,28,3034,
apple butter,30,3035,
cinnamon,45,3036,
tequila,50,3037,
Grand Marnier,35,3038,
Amaro Averna,36,3039,
salted butter,50,3040,
pink peppercorns,70,3041,
white sugar,76,3042,
turmeric,37,3043,
gin,58,3044,
white jasmine rice,84,3045,
pearl barley,32,3046,
lamb stew meat,45,3047,
ginger,65,3048,
shallots,60,3049,
vegetable oil,46,3050,
cilantro,60,3051,
cumin,67,3052,
tomato paste,54,3053,
cumin seeds,34,3054,
evaporated milk,68,3055,
cheddar ,56,3056,
mayonnaise,43,3057,
pimento peppers,37,3058,
ham,28,3059,
carrots,59,3060,
maple syrup,46,3061,
apple juice,54,3062,
mustard,43,3063,
salt ,54,3064,
bacon,65,3065,
carrot,67,3066,
apples ,56,3067,
butternut squash,45,3068,
chicken stock,34,3069,
sour cream,32,3070,
lemons,37,3071,
bread,87,3072,
lettuce,56,3073,
chicken thighs ,54,3074,
leeks,78,3075,
white rice,34,3076,
chicken broth,62,3077,
shrimp,75,3078,
corn tortillas,48,3079,
black beans,59,3080,
coconut oil,42,3081,
coconut milk ,34,3082,
mangoes,52,3083,
nuts,31,3084,
chicken ,46,3085,
nutmeg,71,3086,
lemon,67,3087,
orange,58,3088,
ginger ,97,3089,
lime juice,23,3090,
beets,34,3091,
white wine vinegar,56,3092,
cashews,76,3093,
kale,56,3094,
clove garlic,45,3095,
chickpeas ,67,3096,
coriander,87,3097,
pumpkin,98,3098,
greek yogurt,76,3099,
honey,56,3100,
red chiles,45,3101,
quinoa,34,3102,
tahini,27,3103,
sugar,28,3104,
roasted cashews,20,3105,
golden raisins,23,3106,
whipped cream,34,3107,
milk,25,3108,
tomatoes,26,3109,
spinach,47,3110,
turkey,58,3111,
smoked paprika,69,3112,
red wine vinegar,56,3113,
soy sauce ,76,3114,
squash,56,3115,
vegetable broth,78,3116,
broccolini,45,3117,
ramen noodles,65,3118,
coconut milk,43,3119,
eggplants,50,3120,
tomato,80,3121,
black pepper ,90,3122,
red hot chili pepper,56,3123,
curry,76,3124,
chicken stock ,54,3125,
curry ,45,3126,
cloves,76,3127,
celery ,87,3128,
red bell pepper,54,3129,
green bell pepper,34,3130,
shrimp ,56,3131,
cilantro ,76,3132,
oregano,54,3133,
peas,32,3134,
scallions,32,3135,
thyme ,34,3136,
Cynar,45,3137,
Fino sherry,30,3138,
Orange twist,79,3139,
graham cracker ,58,3140,
cardamom,56,3141,
vanilla extract,43,3142,
buttermilk,36,3143,
baking powder,37,3144,
cayenne,24,3145,
white vinegar,25,3146,
cinnamon stick,29,3147,
cold-brew coffee,41,3148,
pumpkin purée,52,3149,
powdered sugar,63,3150,
bread ,43,3151,
salmon,23,3152,
tortilla wraps,54,3153,
instant yeast,76,3154,
bread flour,87,3155,
pork butt,65,3156,
vegetable stock,65,3157,
green cabbage,43,3158,
beans,45,3159,
green pepper ,67,3160,
papaya,89,3161,
sweet potatoes ,78,3162,
chile powder,65,3163,
rum,43,3164,
dried chile powder,5,3165,
leek,67,3166,
green beans,56,3167,
lemon ,45,3168,
cherry tomatoes,34,3169,
feta,78,3170,
corn,30,3171,
lime,64,3172,
large eggs,27,3173,
Parmesan ,48,3174,
shallot,59,3175,
coriander ,45,3176,
cumin ,32,3177,
cherry tomatoess,42,3178,
mint leaves,53,3179,
white rice ,64,3180,
cucumbers,75,3181,
sesame seeds,83,3182,
soy sauce,65,3183,
romaine lettuce,45,3184,
lime ,30,3185,
rice vinegar,46,3186,
vegetable oil ,32,3187,
raisins,36,3188,
lamb,100,3189,
pasta,300,3190,
cod,200,3191,
