Recipe_name,Equipment_name
Miso-Butter Roast Chicken With Acorn Squash Panzanella,Roasting pan
Miso-Butter Roast Chicken With Acorn Squash Panzanella,Knife
Miso-Butter Roast Chicken With Acorn Squash Panzanella,Cutting board
Miso-Butter Roast Chicken With Acorn Squash Panzanella,Mixing bowl
Crispy Salt and Pepper Potatoes,Baking sheet
Crispy Salt and Pepper Potatoes,Knife
Crispy Salt and Pepper Potatoes,Cutting board
Crispy Salt and Pepper Potatoes,Mixing bowl
Thanksgiving Mac and Cheese,Large pot
Thanksgiving Mac and Cheese,Baking dish
Thanksgiving Mac and Cheese,Whisk
Thanksgiving Mac and Cheese,Mixing bowl
Italian Sausage and Bread Stuffing,Skillet
Italian Sausage and Bread Stuffing,Baking dish
Italian Sausage and Bread Stuffing,Knife
Italian Sausage and Bread Stuffing,Cutting board
Italian Sausage and Bread Stuffing,Mixing bowl
Newton's Law,Cocktail shaker
Newton's Law,Strainer
Newton's Law,Measuring jigger
Newton's Law,Mixing glass
Warm Comfort,Mixing bowl
Warm Comfort,Whisk
Warm Comfort,Saucepan
Warm Comfort,Serving cups
Apples and Oranges,Knife
Apples and Oranges,Cutting board
Apples and Oranges,Mixing bowl
Apples and Oranges,Citrus juicer
Turmeric Hot Toddy,Saucepan
Turmeric Hot Toddy,Whisk
Turmeric Hot Toddy,Strainer
Turmeric Hot Toddy,Mug
Instant Pot Lamb Haleem,Instant Pot
Instant Pot Lamb Haleem,Knife
Instant Pot Lamb Haleem,Cutting board
Instant Pot Lamb Haleem,Mixing spoon
Spiced Lentil and Caramelized Onion Baked Eggs,Skillet
Spiced Lentil and Caramelized Onion Baked Eggs,Mixing bowl
Spiced Lentil and Caramelized Onion Baked Eggs,Knife
Spiced Lentil and Caramelized Onion Baked Eggs,Cutting board
Spiced Lentil and Caramelized Onion Baked Eggs,Baking dish
Hot Pimento Cheese Dip,Mixing bowl
Hot Pimento Cheese Dip,Whisk
Hot Pimento Cheese Dip,Baking dish
Hot Pimento Cheese Dip,Serving platter
Spiral Ham in the Slow Cooker,Slow cooker
Spiral Ham in the Slow Cooker,Knife
Spiral Ham in the Slow Cooker,Cutting board
Spiral Ham in the Slow Cooker,Basting brush
Butternut Squash and Apple Soup,Large pot
Butternut Squash and Apple Soup,Blender
Butternut Squash and Apple Soup,Knife
Butternut Squash and Apple Soup,Cutting board
Butternut Squash and Apple Soup,Wooden spoon
Caesar Salad Roast Chicken,Roasting pan
Caesar Salad Roast Chicken,Knife
Caesar Salad Roast Chicken,Cutting board
Caesar Salad Roast Chicken,Mixing bowl
Chicken and Rice With Leeks and Salsa Verde,Large pot
Chicken and Rice With Leeks and Salsa Verde,Skillet
Chicken and Rice With Leeks and Salsa Verde,Knife
Chicken and Rice With Leeks and Salsa Verde,Cutting board
Chicken and Rice With Leeks and Salsa Verde,Mixing bowl
Gorditas con Camarones,Skillet
Gorditas con Camarones,Mixing bowl
Gorditas con Camarones,Knife
Gorditas con Camarones,Cutting board
Gorditas con Camarones,Spatula
Enfrijoladas,Skillet
Enfrijoladas,Blender
Enfrijoladas,Knife
Enfrijoladas,Cutting board
Enfrijoladas,Baking dish
Caramelized Plantain Parfait,Skillet
Caramelized Plantain Parfait,Knife
Caramelized Plantain Parfait,Cutting board
Caramelized Plantain Parfait,Mixing bowl
