step_number,description,Recipe_name
1,Preheat oven to 400°F and line a rimmed baking sheet with parchment,Crispy Salt and Pepper Potatoes
2,"In a large bowl, whisk the egg whites until foamy (there shouldn’t be any liquid whites in the bowl)",Crispy Salt and Pepper Potatoes
3,"Add the potatoes and toss until they’re well coated with the egg whites, then transfer to a strainer or colander and let the excess whites drain",Crispy Salt and Pepper Potatoes
4,"Season the potatoes with the salt, pepper, and herbs",Crispy Salt and Pepper Potatoes
5,"Scatter the potatoes on the baking sheet (make sure they’re not touching) and roast until the potatoes are very crispy and tender when poked with a knife, 15 to 20 minutes (depending on the size of the potatoes).
Transfer to a bowl and serve.",Crispy Salt and Pepper Potatoes
1,Place a rack in middle of oven; preheat to 400°,Thanksgiving Mac and Cheese
2,Bring evaporated milk and whole milk to a bare simmer in a large saucepan over medium heat,Thanksgiving Mac and Cheese
3,"Whisk in garlic powder, onion powder, paprika, pepper, and 1 tsp salt",Thanksgiving Mac and Cheese
4,"Working in batches, whisk in three fourths of the cheddar, then all of the cream cheese.
Meanwhile, bring a large pot of generously salted water to a boil (it should have a little less salt than seawater)",Thanksgiving Mac and Cheese
5,"Cook macaroni, stirring occasionally, until very al dente, about 4 minutes",Thanksgiving Mac and Cheese
6,"Drain in a colander.
Add macaroni to cheese sauce in pan and mix until well coated",Thanksgiving Mac and Cheese
7,"Evenly spread out half of macaroni mixture in a 13x9"" baking dish",Thanksgiving Mac and Cheese
8,Sprinkle half of remaining cheddar evenly over,Thanksgiving Mac and Cheese
9,Layer remaining macaroni mixture on top and sprinkle with remaining cheddar,Thanksgiving Mac and Cheese
10,"Bake until all of the cheese is melted, about 10 minutes",Thanksgiving Mac and Cheese
11,Let cool slightly before serving.,Thanksgiving Mac and Cheese
1,Preheat oven to 350°F with rack in middle,Italian Sausage and Bread Stuffing
2,"Generously butter baking dish.
Put bread in 2 shallow baking pans and bake, switching position of pans halfway through baking, until just dried out, about 10 minutes.
Heat 1 tablespoon oil in a 12-inch heavy skillet over medium-high heat until it shimmers, then cook half of sausage, stirring and breaking it into small pieces, until golden brown, about 6 minutes",Italian Sausage and Bread Stuffing
3,Transfer with a slotted spoon to a large bowl,Italian Sausage and Bread Stuffing
4,"Brown remaining sausage in remaining tablespoon oil, transferring to bowl.
Pour off fat from skillet and wipe clean",Italian Sausage and Bread Stuffing
5,"Heat butter over medium heat until foam subsides, then cook onions, celery, garlic, and ½ teaspoon each of salt and pepper, stirring occasionally, until golden, 12 to 15 minutes",Italian Sausage and Bread Stuffing
